nys_assembly,nys_senate,objectid,us_congress,zipcode
38,15,6197,7,11421
85,34,21494,15,10474
83,36,5590,16,10466
23,15,6181,5,1169111692
81,34,4823,16,10463
77,29,5673,15,10451
27,11,4614,14,11357
25,16,5331,6,11364
66,27,5772,10,10014
23,15,5362,8,11414
72,31,6326,13,1003310034
62,24,5969,11,10312
41,19,5165,9,11235
37,12,6409,12,1110211106
53,18,5248,7,11206
35,13,6212,14,10021
68,30,4816,13,10029
62,24,69247,11,1030410306
35,16,6606,6,11373
273536,13141516,15508,614,11103113671136811369113701137111375
77,29,5704,15,10452
74,26,4645,12,10009
54,18,5388,7,112071120811385
65,26,4982,12,10009
23,10,5573,5,11691
55,25,5293,8,11233
66,27,5734,10,10014
35,16,6136,6,11373
61,23,5077,11,10310
85,32,5628,15,10459
65,26,5336,12,10002
50,26,5210,7,11211
65,26,5419,10,10038
46,22,5813,11,11209
40,16,4911,6,11355
67,27,4930,10,10023
76,29,6368,12,10021100281006510075
82,34,5521,14,10465
62,24,4600,11,10309
63,24,6053,11,10301
50,26,6057,7,11211
70,30,4702,13,10026
77,29,5699,15,10452
32,10,5089,5,11434
62,24,6304,11,10312
66,26,5794,10,10012
55,19,4892,9,11212
55,25,5241,8,11233
79,32,4690,15,10455
52,25,6190,8,11201
2331,10,6343,5,110961143011691
66,26,5687,10,10013
787987,3233,5680,15,10460
83,36,4705,16,10469
56,25,6089,8,11233
44,21,69238,9,11215
50,18,5525,12,11211
55,19,6568,8,11212
86,33,5711,15,10457
74,26,5568,12,10009
28,15,5765,6,11379
38,10,5908,5,11416
66,26,6356,10,10012
68,29,5001,13,10029
81,33,4804,13,10463
50,26,6143,7,11205
242526,1116,69209,36,1136111362113631136411426
77,29,4782,15,10453
31,10,5172,5,11693
70,30,4975,13,10027
62,24,4619,11,1030710309
82,34,5530,14,10461
37,12,5443,12,11102
55,25,5286,9,11233
77,29,4778,15,10452
48,17,5483,9,11230
26,11,5312,6,11360
23,10,6318,5,11691
706872,3031,6331,13,10032100331003410037100391004010451
57,25,6038,8,11238
62,24,51994,11,10309
79,32,5514,15,10451
23,10,6416,5,11691
40,16,6174,6,11358
61,23,5863,11,10303
46,23,4607,8,11224
26,11,6257,3,11360
62,24,6060,11,10312
46,22,6007,11,11209
55,19,5203,8,11212
46,23,69252,8,11224
84,32,5844,15,10455
57,25,6644,8,11201
87,33,5647,15,10472
82,34,4588,14,10464
31,10,6238,5,1155911422
77,29,5749,15,10452
4442,1721,6361,9,1121011230
60,19,5305,9,11212
50,26,5400,12,11222
64,23,6041,11,10305
3439,1316,6140,614,1137211373
74,26,4994,12,10009
8172,3331,5730,13,1046310463
76,29,69221,12,10028
54,18,5274,8,11208
65,26,4652,7,10002
65,26,5927,7,10038
68,30,4880,13,10029
81,34,5718,16,10463
61,23,6577,11,10304
77,29,5407,15,10452
26,11,6269,6,11361
51,26,5222,7,11231
50,26,5191,12,11222
81,34,4797,13,10468
51,25,5502,10,11231
87,32,5996,15,1046210472
63,24,5799,11,10314
53,18,5236,7,11237
79,32,4732,15,10456
42,21,5134,9,11210
2331,1015,6394,5,11691116921169311694
26,11,6656,3,11357
7566,27,5988,10,100011001110014
69686775,29,6587,1013,100231002410025
72,31,5685,13,10040
27,14,5891,6,11415
68,29,4626,13,10029
54,18,5279,8,11208
26,11,6276,3,11357
77,29,5677,15,10452
77,32,4775,15,10456
74,27,4925,12,10010
36,12,5874,1214,11102
60,19,6228,8,11208
86,33,4759,15,10458
50,18,5464,7,11211
37,12,5559,12,11101
53,18,14691,7,11206
55,25,5267,8,11233
81,34,6421,16,1046710470104711070510705
61,23,5070,11,10301
53,18,4854,7,11206
31,10,5350,5,11691
35,13,4956,14,11368
80,36,5540,14,10467
57,21,6011,9,11238
50,18,6402,12,11211
58,20,6133,9,11236
81,34,5737,16,10463
46,22,5153,11,11228
85,32,6307,15,10472
52,26,5426,7,11201
35,16,5369,6,11375
56,18,5075,7,11206
27,15,5120,6,11367
73,28,5582,12,10022
79,32,5775,15,10460
60,19,6288,8,11207
29,10,5936,5,11434
35,16,4918,6,11374
81,34,5780,16,10471
79,32,4721,15,10459
53,18,5184,7,11221
54,18,6435,87,11208
30,12,84532,14,11377
63,24,5058,11,10301
23,1015,5571,5,11691
85,34,5823,15,10473
23,15,69249,5,11694
86,33,5700,15,10457
54,18,6019,7,11207
31,10,64400,5,11691
65,26,6625,7,10002
26,11,69240,6,1136011361
86,33,5654,15,10457
51,25,4595,107,11231
85,32,4739,15,10460
57,25,5158,8,11205
46,22,4842,11,11209
7071,31,4747,13,1002710031
70,30,5610,13,10027
24,14,6658,6,11435
65,26,5851,10,10005
75,27,4949,10,10011
60,19,6102,8,11208
57,25,5255,8,11216
36,13,4934,14,11105
27,14,5898,6,11415
51,17,4839,10,11219
79,32,4737,15,10456
52,26,69225,7,11201
34,12,5587,14,11377
36,12,5442,12,11106
60,19,5245,8,11207
62,24,5074,11,1030910312
79,33,6593,15,10460
23,15,5360,8,11414
68,30,4877,13,10035
50,18,5810,12,11222
85,32,6589,15,10460
85,32,5625,15,10459
27,16,5333,6,11375
72,31,4979,13,10033
32,10,5117,5,11434
83,36,97348,16,10469
52,26,5511,7,11201
71,30,5971,13,10032
23,15,6432,5,11693
31,10,6168,5,11420
40,16,6235,6,11355
61,23,6365,11,10302
68,30,6397,13,10035
71,30,4896,13,10039
52,26,5105,7,11201
69,31,4699,10,10025
63,24,6660,11,10304
25,16,69218,6,11364
78,33,4794,13,10458
60,19,5857,9,11212
24,11,5324,3,11004
61,23,6029,11,10302
61,23,4597,11,10302
70,30,6247,13,10026
27,11,6251,14,11356
70,30,13488,13,10030
79,32,4726,15,10451
81,34,5739,16,10463
63,23,5743,11,10303
29,14,5982,5,11433
74,27,5385,12,10010
55,20,5093,9,11212
40,16,6187,6,11354
86,33,6384,15,10457
495164,23,6020,10,1121911220
82,34,5967,14,10461
65,26,6581,712,10002
81,34,5720,16,10463
68,29,4661,1312,1002910128
70,30,5010,13,10027
74,26,5962,12,10009
55,25,6216,8,11233
69,30,4944,10,10025
79,32,11886,15,10451
25,16,69211,6,11365
23,15,6425,8,11417
66,27,5735,12,10003
81,34,4813,16,10463
81,34,6114,16,10471
74,27,5518,12,10009
35,16,5917,6,11375
27,11,5321,14,11356
33,14,5905,5,11412
70,30,5006,13,10027
77,33,5709,15,10453
68,30,6573,13,10035
62,24,5762,11,10306
33,11,5352,3,1142611427
77,29,5708,15,10452
70,30,4998,13,10026
24,11,69206,3,11426
82,34,6565,14,10464
44,21,5791,9,11218
83,36,5594,16,10467
66,26,5845,10,1001210013
67,27,4965,10,10023
66,26,4749,10,10007
24252627,1114,6426,356,110041100511362113641136711423114261
63,24,5041,11,10301
79,33,6342,15,10457
74,26,4687,12,10009
68,29,4927,13,10029
46,22,5838,11,11209
70,30,4972,13,10030
64,23,6035,11,10305
85,34,6380,15,10473
55,19,6232,8,11212
79,32,5173,15,10451
56,25,5480,8,11216
53,18,5124,7,11211
60,19,5283,8,11207
36,12,4616,1214,11105
34,13,5921,14,11370
23,15,6622,8,11417
55,25,6603,8,11233
26,11,6266,6,11358
57,25,5207,8,11201
35,16,5366,6,11374
60,19,5169,8,11208
32,10,6382,5,11433
81,33,4801,13,10463
68,30,5003,13,10035
30,15,5549,6,11378
31,10,5113,5,11413
27,14,5907,6,11367
48,17,6358,10,11204
44,21,5943,9,11218
71,31,4984,13,10031
68,30,6411,13,10035
6462,24,5746,11,1030810312
56,25,5200,8,11221
35,13,6299,14,11368
86,33,4791,15,10453
57,25,5466,8,11238
56,25,4889,8,11213
39,16,5435,6,11373
33,14,6653,5,11429
52,25,5397,7,11201
54,18,5235,7,11221
62,24,4604,11,10307
59,22,5238,8,11234
82,34,5924,14,10461
23,10,4643,5,11691
39,13,5932,14,11368
37,12,6198,12,11101
84,29,5151,15,10454
71,31,5022,13,10040
79,32,5727,15,10456
73,28,4668,12,10017
29,11,5314,5,11432
25,11,6278,6,11365
70,30,87744,13,10027
70,30,4960,13,10035
61,23,24295,11,10304
56,25,5497,9,11213
36,13,4908,14,11377
62,24,6574,11,10309
84,29,4763,15,10452
51,23,6672,7,11220
84,29,5613,15,10454
72,30,4711,13,10032
30,15,6066,6,11378
31,10,5499,5,11691
46,22,6558,11,11209
39,16,5404,6,11373
56,25,5302,8,11233
37,12,4617,12,11101
35,13,6152,14,11369
454641596023,151923,69230,118,112081120911214112231122811234112351
25,16,6657,6,11367
87,34,5644,14,10462
65,26,4942,10,10013
35,13,4954,14,11369
68,29,4631,13,10035
26,11,6297,3,11362
52,26,6349,7,11201
34,13,5447,14,11370
60,19,5188,8,11207
43,20,5136,9,11203
36,12,6346,12,11103
74,26,4991,12,10009
54,18,5985,8,11221
49,17,5485,7,11219
23,15,6339,5,11694
62,24,6076,11,10309
79,32,4725,15,10451
84,29,4820,15,10451
26,11,6273,3,11363
54,18,6225,8,11208
34,16,5910,14,11377
54,19,4851,8,11208
33,11,5347,3,11426
66,27,4654,10,10012
61,23,6111,11,10304
54,18,5220,7,11207
27,16,6292,6,11365
23,10,5417,5,11693
52,25,5431,7,11231
55,20,6107,9,1121311233
86,33,4756,15,10457
82,34,5997,14,10461
41,19,5131,9,11229
84,29,70804,15,10451
50,26,5029,12,11222
62,24,6638,11,10312
68,29,5579,12,10128
63,24,69246,11,1031210314
53,18,4649,7,11211
26,11,5378,3,11360
86,33,5777,15,10453
55,25,5181,8,11233
36,13,5919,14,11105
57,25,5264,8,11216
87,32,5663,15,10460
78,33,4760,15,10458
52,26,96949,7,11201
69,30,4870,13,10025
60,19,6213,8,11207
86,33,4744,15,10457
68,29,5848,13,10035
65,26,4946,7,10038
57,25,5409,8,11217
23,15,5902,5,11694
63,23,6399,11,10303
59,19,6099,8,11234
65,26,4630,12,10002
34,13,5492,14,11372
52,2021,69237,9,112151121711238
57,25,4832,9,11217
57,25,5295,8,11205
68,30,4742,13,10027
63,24,6097,11,10314
30,15,5493,6,11379
50,26,5788,12,11211
68,29,4941,13,10035
31,10,5358,5,11413
82,36,5592,16,10475
53,18,5234,7,11206
51,25,6084,10,1121511232
68,2930,5338,13,10035
37,12,5027,12,11102
35,13,5938,14,11368
53,18,5186,7,11206
50,26,14695,12,11222
23,15,5860,5,11694
65,26,4989,12,10003
55,19,5269,8,11207
64,24,5072,11,10308
85,32,5618,15,10472
69,30,4875,13,10027
53,18,5524,7,11206
30,12,4635,12,11106
56,18,4651,8,11221
83,36,5414,16,10466
79,33,5649,15,104561045710460
82,34,4704,14,10462
44,21,6218,9,11218
61,23,6386,11,10310
86,33,4792,15,10458
60,19,11888,8,11208
696775,293027,6354,10,100231002410025
60,19,5300,8,11207
68,30,5846,13,10037
58,20,5793,9,11212
68,30,4891,13,10029
41,19,5103,9,11229
84,29,5843,15,10451
273536,13141516,90552,614,11103113671136811369113701137111375
68,30,4977,13,10035
44,21,5941,9,11218
52,26,4882,7,11201
62,24,6040,11,10309
77,33,4780,15,10453
84,32,69204,15,10474
85,32,5630,15,10459
61,23,6335,11,10301
86,29,5692,15,10453
68,29,5532,13,10035
58,19,5288,8,11236
61,24,5827,11,10301
56,18,5024,8,11221
63,24,6123,11,10309
24,11,5319,3,11004
33,14,6166,5,11428
79,33,5661,15,10457
61,23,4602,11,1030110310
52,26,5110,7,11201
77,33,5684,15,10456
41,1719,5812,9,11234
81,36,4799,13,10467
59,19,6363,8,11234
57,25,5516,8,11205
36,12,4894,14,11103
63,23,5744,11,10303
30,15,5547,6,11378
79,32,5632,15,10451
81,34,6290,16,1046310471
64,24,6055,11,10305
32,10,5364,5,11434
77,33,5691,13,10453
46,22,5034,11,1120911228
70,30,4628,13,10037
86,33,5668,15,10457
65,26,13489,12,10002
4647,23,4609,11,11214
37,12,6128,12,11101
57,25,5789,8,11201
57,21,5037,9,11238
63,24,69245,11,10314
2429,1114,6373,5,11432
56,25,5179,8,11216
64,24,5053,11,10306
23,15,6183,5,11693
76,28,4714,12,10065
65,26,4776,7,10002
37,12,5379,12,11106
36,12,5872,1214,11102
39,13,5025,14,11368
27,15,5918,6,11367
65,26,4859,7,10002
55,20,6069,9,11212
46,23,39507,8,11224
78,36,6665,13,10458
65,26,5564,10,10038
23,15,6312,8,11414
23,15,6620,5,11694
56,25,5265,8,11216
29,14,6115,5,11433
65,26,5758,7,10002
30,16,5554,6,11373
31,10,6321,5,1141311422
82,34,5537,14,10465
56,25,5402,8,11221
42,21,5817,9,11210
74,27,4951,12,10009
64,23,6014,11,10305
66,26,4659,10,10012
86,33,5656,15,10457
68,29,4754,13,10029
26,11,69213,3,11357
71,31,6211,13,1003110032
50,26,6605,12,11211
32,10,5896,5,11436
60,19,5991,8,11212
54,18,5281,8,11208
23,15,6344,5,11693
84,32,6385,15,10455
52,25,5129,7,11217
65,26,5836,7,10038
69,30,6651,10,10025
74,28,4818,12,10017
61,23,6033,11,10301
46,23,4974,8,11224
41,19,5167,9,11235
56,25,6230,8,11216
74,27,4970,12,10009
86,33,5722,13,10468
53,18,5478,7,11206
30,16,5556,6,11373
81,34,69223,16,10471
30,15,6062,6,11378
7881,33,4806,13,10468
70,30,4958,13,10027
71,31,5608,13,10032
54,18,5046,7,11207
61,23,5395,11,10310
87,32,5751,15,10460
57,25,4849,8,11205
52,25,5198,8,11217
31,10,86935,5,11434
37,12,5440,14,11104
50,26,4623,12,11222
79,32,6608,15,10456
59,19,5986,8,1123411236
50,18,5084,7,11211
61,23,5995,11,10301
60,19,4887,8,11207
45,22,6192,8,11235
34,13,4932,14,11370
77,29,6387,15,10451
45,23,6389,8,11235
79,32,4735,15,10456
56,25,5498,9,11213
37,12,5881,12,11101
68,30,5015,13,10035
78,33,5675,15,10458
75,27,4773,12,10001
23,15,4621,5,11693
50,18,5523,7,11211
35,13,6582,14,11368
26,11,5326,3,11362
58,21,5155,9,11203
39,13,5767,14,11368
33,14,5357,5,11412
63,24,6017,11,10314
74,27,5964,12,10009
50,25,5160,7,11205
77,29,5706,15,10452
60,19,5250,8,11207
53,18,4647,7,11211
55,20,5243,9,11212
24,10,5903,5,11419
42,17,6204,9,11210
79,32,4692,15,10451
37,12,6117,12,11101
47,17,6392,10,11204
37,12,5490,7,11385
71,31,5589,13,1002410027
57,25,5231,8,11238
62,24,6081,11,10312
50,26,5786,7,11211
79,32,4727,15,10456
46,23,12290,8,11224
40,16,5884,6,11354
52,20,4825,7,11215
86,33,5983,15,10453
50,18,4837,12,11222
71,30,69242,13,10039
55,25,5471,8,11233
56,25,14688,8,11233
61,24,5065,11,10302
78,33,5672,15,10458
34,13,4920,14,11369
65,26,5770,10,10004
85,32,4723,15,10459
3329,14,5915,5,11423
87,32,4856,15,10473
64,23,6223,11,11220
50,25,5459,7,11205
55,18,5262,8,11207
84,29,5755,15,10455
62,24,6109,11,10307
65,26,4937,7,10002
57,2021,6226,9,11225
77,29,5689,15,10452
50,18,5247,7,11211
55,20,6404,8,11212
51,21,6195,7,11215
45,23,5148,8,11235
66,27,4939,10,10014
85,32,13887,15,10459
38,12,5886,7,11385
61,24,5798,11,10301
66,26,5433,10,10013
44,17,5174,10,11218
60,19,6646,8,11208
85,34,6338,15,10473
74,27,4999,12,10009
48,17,6010,10,11204
28,15,5929,6,11385
7574,28,4666,12,10003
30,12,6185,14,11101
33,14,69216,5,11429
77,29,6430,1513,1045210453
72,31,5528,13,10032
31,10,5122,5,11692
55,20,5217,9,11212
60,19,5276,8,11207
77,29,4768,15,10452
81,34,6071,16,10471
68,29,5504,13,10035
77,29,5713,15,10452
25,11,6259,6,11361
31,10,6176,5,11691
32,14,5865,5,11433
65,26,4811,7,10013
60,19,5307,8,11207
86,33,5842,15,10453
71,31,6570,13,100321003310034
27,11,6264,14,11356
48,17,5205,10,11230
67,27,5760,10,10023
37,12,4913,7,11385
36,13,5953,14,11377
70,30,5957,13,10030
56,25,5193,8,11206
36,1213,6347,14,11105
30,12,6150,14,11377
2433,14,5091,5,11427
27,16,5383,6,11375
51,21,5156,7,11215
77,33,6145,15,10456
25,16,5436,6,11364
58,21,5146,8,11236
68,29,84131,12,10035
62,24,6639,11,10309
61,23,5580,11,10301
50,26,5141,7,11211
65,26,4716,7,10002
31,10,69235,5,11420
85,32,4720,15,10459
78,33,4761,15,10458
68,29,5976,13,10029
51,26,5224,7,11231
6876,29,69220,1312,10028100291003510128
52,26,6670,7,11201
51,23,5611,10,11220
65,26,6370,7,10002
33,14,4901,5,11412
37,12,6316,12,11101
48,17,6059,10,11219
63,24,6005,11,10314
57,25,5212,8,11238
84,29,5599,15,10454
27,11,6256,14,1135411356
30,15,5551,6,11378
87,33,4590,15,10460
45,17,5452,11,11229
77,29,5694,15,10452
46,22,5098,11,11209
30,16,5544,6,11373
42,21,4835,9,11226
75,28,6554,12,10019
37,12,5495,12,11101
54,18,6599,8,11206
27,16,5343,6,11367
23,15,30295,5,11693
53,18,5233,7,11211
85,32,5629,15,10459
30,12,5381,12,11103
60,18,6219,8,11207
50,26,5784,7,11211
3037,12,6129,14,11377
54,18,5229,8,11207
74,28,4873,12,10017
54,18,5032,7,11237
67,31,4861,10,10023
75,27,4906,10,10019
86,33,5723,13,10468
73,28,4664,12,10065
57,20,5488,9,11238
74,27,5950,12,10016
56,25,5260,8,11221
71,30,4966,13,10031
86,33,4786,15,10453
44,21,5747,9,11215
31,10,6118,5,1141311422
75,27,5609,12,10036
63,23,5753,11,10303
63,24,6003,11,10314
82,34,6315,14,10465
6163,24,5039,11,1030110310
52,25,5479,8,11217
60,19,6443,8,112081123911414
23,15,69250,5,11694
65,26,4968,10,10038
39,16,6148,6,11373
68,29,4876,13,10035
62,24,6637,11,10312
71,30,5578,13,10032
52,25,6050,7,11201
79,33,4731,15,10457
46,22,5790,11,11228
32,10,5365,5,11434
74,27,5972,12,10009
61,23,6018,11,10304
84,29,5626,15,10455
70,31,4814,13,10031
38,15,6162,6,11385
32,10,4902,5,11420
53,18,5097,7,11211
35,13,21493,14,11369
57,25,5094,8,11216
4442,17,6359,9,11230
71,30,5965,13,10031
64,24,6367,11,10308
57,25,5308,8,11201
28,15,6207,6,11385
81,36,4800,13,10467
57,21,6556,9,11238
87,33,5410,15,10460
66,27,4985,12,10003
27,11,6253,14,11356
86,33,4788,15,10453
44,21,5942,9,11218
59,19,4883,8,11234
87,34,6245,15,10462
37,12,4591,12,11106
82,34,5588,14,10465
73,28,4674,12,10017
32,10,5934,5,11435
23,15,5930,8,11417
74,28,4871,12,10017
87,34,5619,15,1047210473
4243,21,5213,9,11226
82,34,5422,14,10461
70,30,5820,13,10026
70,30,5016,13,10027
61,23,6013,11,10301
53,18,5096,7,11211
7071,30,6353,13,10026100271003010039
52,26,5111,7,11201
46,22,5816,11,1120911228
24,11,69207,3,11426
2331,10,6236,5,11691
80,36,5177,13,10467
77,33,4785,15,10453
26,11,6371,3,11362
53,18,4852,7,11206
59,19,5201,8,11236
84,29,5600,15,10451
66,26,5756,10,10013
69,30,5004,13,10025
26,11,6293,3,11362
23,15,5994,5,11694
7987,32,5602,15,10460
27,15,6295,6,11375
79,32,5637,15,10459
44,21,5797,9,11215
68,29,4895,13,10029
56,25,5244,8,11206
55,20,4890,9,11212
66,27,4693,10,10014
28,15,6654,6,11374
56,25,14686,8,11221
23,15,6139,5,11694
63,23,5080,11,10314
53,26,5429,7,11206
53,26,5232,7,11206
79,32,5631,15,10456
85,32,5035,15,10473
24,11,5320,5,11423
70,30,5512,13,10027
73,28,6571,12,10022
66,27,4655,10,10012
84,29,5773,15,10455
37,12,5768,12,11101
34,13,4921,14,11372
60,19,5206,9,11212
52,26,6146,7,11201
79,33,5640,15,10456
6263,24,51997,11,10308
55,25,5289,9,11233
57,20,5092,9,11225
79,32,5638,15,10456
87,34,13491,15,11207
67,27,69243,10,10023
24,14,5441,6,11432
27,16,6291,6,11367
56,25,5277,8,11206
71,31,5980,13,10031
65,26,5517,12,10002
50,26,6039,7,11211
77,33,5118,15,10453
29,14,6124,5,11422
57,25,5163,8,11238
25,1116,69212,6,1136511366
37,12,5866,12,11106
81,34,4807,16,10470
78,33,5669,15,10457
67,31,4610,10,1001910023
71,30,5616,13,10039
84,29,4769,15,10452
85,34,6286,15,10473
82,34,5607,16,10475
31,10,6158,5,11420
43,20,5099,9,11203
68,29,5847,13,10035
66,27,4686,12,10003
47,23,6647,10,11214
86,33,6552,15,10457
29,14,5391,5,11434
75,27,5946,10,10036
57,20,5194,9,11238
70,30,4997,13,10030
79,33,6563,15,10456
58,21,5130,9,11203
79,32,5635,15,10456
79,32,6583,15,10451
25,11,5327,3,11362
59,19,5182,8,11234
61,23,6075,11,10301
52,26,96948,7,11201
84,29,4819,15,10454
27,11,6272,14,11356
64,24,5054,11,10306
55,19,12299,9,11212
69,30,6609,10,10024
26,16,5353,6,11364
85,32,6412,15,10459
60,19,12295,8,11207
87,33,6310,15,10460
51,21,6196,7,11215
30,13,6188,14,11377
77,29,5676,15,10452
36,12,5877,14,11102
58,19,5187,8,11236
60,19,5168,8,11208
70,30,5834,13,10037
65,26,4717,7,10002
79,32,5467,15,10451
57,25,5270,8,11238
29,1014,5763,5,11413
64,2324,4598,11,1030510306
67,27,4750,10,10023
6574,2627,5854,7,10002
55,20,5258,9,11212
41,21,13893,9,11210
80,36,4636,14,10467
43,20,5144,9,11225
84,29,4683,15,10454
52,25,5175,7,11217
82,34,4629,14,10461
82,34,5782,14,10465
70,30,4978,13,10030
77,29,4781,15,10453
62,24,6082,11,10312
55,25,5486,8,11233
66,27,5771,10,10014
46,23,6649,8,11224
82,34,5825,14,10464
23,15,4864,8,11417
62,24,5968,11,10312
30,12,4909,14,11377
23,15,5372,5,11694
66,26,4710,10,10012
61,23,6015,11,10302
80,34,5543,14,10469
60,18,5263,8,11208
74,26,4995,12,10009
59,19,6557,8,11234
86,33,5655,15,10457
29,14,5901,5,11423
8287,34,6246,1514,10465
26,11,6255,3,11363
60,19,5306,8,11208
30,16,6063,6,11373
52,21,6194,7,11215
45,23,5135,11,11223
60,19,21496,8,11207
82,34,5529,14,10461
79,32,5633,15,10456
81,34,5726,13,10463
81,34,4824,16,10471
31,15,5830,5,11420
77,33,4771,15,10456
69,30,4869,13,10025
84,29,5415,15,10454
55,18,13889,8,11207
55,20,5218,8,11212
57,25,6224,8,11238
37,15,5377,7,11385
27,11,6274,3,11357
65,26,5408,10,10038
33,11,5313,5,11426
53,18,5211,7,11206
64,24,5864,11,10305
81,33,4805,13,10463
74,26,5963,12,10009
71,30,69241,13,10039
46,23,5396,8,11224
56,25,5294,8,11221
26,11,6258,3,11360
53,26,5199,7,11206
65,26,5947,10,10280
24,14,4900,5,11435
87,32,6664,15,10460
64,22,6027,10,11220
56,25,5125,8,11221
81,34,5738,16,10463
85,34,6243,15,10474
74,27,5975,12,10009
83,36,5542,16,10469
58,21,5384,9,11203
56,18,5282,8,11206
65,26,4719,7,10002
60,19,5227,8,11207
79,33,6337,15,10460
51,23,5073,7,11220
60,19,6440,8,1123611239
34,16,5913,14,11377
67,27,5507,10,10019
74,27,4657,12,10009
25,16,69210,6,11355
70,30,20296,13,10027
44454648,21172223,6419,91011,1121811223112241123011235
84,29,6357,15,10454
66,27,4679,10,10012
80,36,5541,14,10467
42,21,4888,9,11226
25,11,5325,6,11361
29,10,5310,5,11422
57,25,5116,8,11201
61,23,5055,11,10304
70,30,4971,13,10027
33,14,4919,5,11423
75,27,4774,12,10001
63,24,6122,11,10314
55,19,5256,8,11207
51,25,5465,7,11232
27,11,6248,14,11356
55,25,29095,9,11233
29,14,5859,5,11432
50,18,76492,12,11222
2331,101415,69236,85,1141311414114201143011434
75,3127,6607,10,1000110018
50,18,4646,7,11211
38,15,4817,7,11416
33,14,6205,5,11429
60,19,4843,8,11207
35,13,5890,14,11369
44,17,5484,10,11218
86,33,6595,15,10457
37,12,5693,12,11378
57,25,5287,8,11216
34,13,4933,14,11370
62,24,6087,11,10312
55,25,5028,8,11233
79,32,4736,15,10459
45,23,5822,11,11223
77,33,5776,15,10457
38,15,5370,7,11416
23,15,6170,8,11417
68,29,4976,13,10035
27,11,6265,14,1135611357
66,26,4653,12,10003
65,26,5716,7,10002
64636261,2324,6406,11,10302103031030610314
77,29,5828,15,10452
23,15,6619,5,116921169311694
30,15,5560,6,11378
62,24,6110,11,10312
51,17,5052,7,11232
87,33,5643,15,1046010462
60,19,5047,8,11207
30,12,5446,14,11104
87,32,6564,15,10472
60,19,6645,8,11207
55,25,5192,8,11233
454848293.35299957,48064.55799999993,8664.517,114.74899999999997,2.5436054910029926e+32
